loading preprocessed files
0/22300 (epoch 0), train_loss = 4.149, time/batch = 1.654
model saved to save/model.ckpt
1/22300 (epoch 0), train_loss = 4.088, time/batch = 0.056
2/22300 (epoch 0), train_loss = 3.767, time/batch = 0.056
3/22300 (epoch 0), train_loss = 4.311, time/batch = 0.055
4/22300 (epoch 0), train_loss = 3.706, time/batch = 0.053
5/22300 (epoch 0), train_loss = 3.602, time/batch = 0.052
6/22300 (epoch 0), train_loss = 3.586, time/batch = 0.052
7/22300 (epoch 0), train_loss = 3.521, time/batch = 0.051
8/22300 (epoch 0), train_loss = 3.440, time/batch = 0.051
9/22300 (epoch 0), train_loss = 3.473, time/batch = 0.051
10/22300 (epoch 0), train_loss = 3.380, time/batch = 0.051
11/22300 (epoch 0), train_loss = 3.399, time/batch = 0.051
12/22300 (epoch 0), train_loss = 3.373, time/batch = 0.051
13/22300 (epoch 0), train_loss = 3.328, time/batch = 0.051
14/22300 (epoch 0), train_loss = 3.399, time/batch = 0.051
15/22300 (epoch 0), train_loss = 3.372, time/batch = 0.051
16/22300 (epoch 0), train_loss = 3.326, time/batch = 0.051
17/22300 (epoch 0), train_loss = 3.350, time/batch = 0.051
18/22300 (epoch 0), train_loss = 3.318, time/batch = 0.051
19/22300 (epoch 0), train_loss = 3.295, time/batch = 0.051
20/22300 (epoch 0), train_loss = 3.340, time/batch = 0.051
21/22300 (epoch 0), train_loss = 3.355, time/batch = 0.051
22/22300 (epoch 0), train_loss = 3.362, time/batch = 0.051
23/22300 (epoch 0), train_loss = 3.356, time/batch = 0.051
24/22300 (epoch 0), train_loss = 3.406, time/batch = 0.051
25/22300 (epoch 0), train_loss = 3.356, time/batch = 0.051
26/22300 (epoch 0), train_loss = 3.292, time/batch = 0.051
27/22300 (epoch 0), train_loss = 3.284, time/batch = 0.051
28/22300 (epoch 0), train_loss = 3.271, time/batch = 0.051
29/22300 (epoch 0), train_loss = 3.276, time/batch = 0.051
30/22300 (epoch 0), train_loss = 3.315, time/batch = 0.051
31/22300 (epoch 0), train_loss = 3.342, time/batch = 0.051
32/22300 (epoch 0), train_loss = 3.271, time/batch = 0.051
33/22300 (epoch 0), train_loss = 3.294, time/batch = 0.051
34/22300 (epoch 0), train_loss = 3.275, time/batch = 0.051
35/22300 (epoch 0), train_loss = 3.277, time/batch = 0.051
36/22300 (epoch 0), train_loss = 3.256, time/batch = 0.051
37/22300 (epoch 0), train_loss = 3.223, time/batch = 0.051
38/22300 (epoch 0), train_loss = 3.256, time/batch = 0.051
39/22300 (epoch 0), train_loss = 3.248, time/batch = 0.051
40/22300 (epoch 0), train_loss = 3.250, time/batch = 0.051
41/22300 (epoch 0), train_loss = 3.181, time/batch = 0.051
42/22300 (epoch 0), train_loss = 3.174, time/batch = 0.051
43/22300 (epoch 0), train_loss = 3.132, time/batch = 0.051
44/22300 (epoch 0), train_loss = 3.182, time/batch = 0.051
45/22300 (epoch 0), train_loss = 3.155, time/batch = 0.051
46/22300 (epoch 0), train_loss = 3.121, time/batch = 0.051
47/22300 (epoch 0), train_loss = 3.144, time/batch = 0.051
48/22300 (epoch 0), train_loss = 3.078, time/batch = 0.051
