reading text file
0/5740 (epoch 0), train_loss = 4.499, time/batch = 0.721
model saved to save_1/model.ckpt
1/5740 (epoch 0), train_loss = 4.422, time/batch = 0.051
2/5740 (epoch 0), train_loss = 3.992, time/batch = 0.051
3/5740 (epoch 0), train_loss = 4.048, time/batch = 0.051
4/5740 (epoch 0), train_loss = 3.402, time/batch = 0.048
5/5740 (epoch 0), train_loss = 3.378, time/batch = 0.048
6/5740 (epoch 0), train_loss = 3.336, time/batch = 0.047
7/5740 (epoch 0), train_loss = 3.288, time/batch = 0.047
8/5740 (epoch 0), train_loss = 3.308, time/batch = 0.046
9/5740 (epoch 0), train_loss = 3.217, time/batch = 0.046
10/5740 (epoch 0), train_loss = 3.257, time/batch = 0.046
11/5740 (epoch 0), train_loss = 3.250, time/batch = 0.046
12/5740 (epoch 0), train_loss = 3.184, time/batch = 0.046
13/5740 (epoch 0), train_loss = 3.226, time/batch = 0.046
14/5740 (epoch 0), train_loss = 3.155, time/batch = 0.046
15/5740 (epoch 0), train_loss = 3.165, time/batch = 0.046
16/5740 (epoch 0), train_loss = 3.155, time/batch = 0.046
17/5740 (epoch 0), train_loss = 3.172, time/batch = 0.046
18/5740 (epoch 0), train_loss = 3.137, time/batch = 0.046
19/5740 (epoch 0), train_loss = 3.143, time/batch = 0.046
20/5740 (epoch 0), train_loss = 3.126, time/batch = 0.046
21/5740 (epoch 0), train_loss = 3.158, time/batch = 0.046
22/5740 (epoch 0), train_loss = 3.162, time/batch = 0.046
23/5740 (epoch 0), train_loss = 3.173, time/batch = 0.046
24/5740 (epoch 0), train_loss = 3.120, time/batch = 0.046
25/5740 (epoch 0), train_loss = 3.115, time/batch = 0.046
26/5740 (epoch 0), train_loss = 3.102, time/batch = 0.046
27/5740 (epoch 0), train_loss = 3.125, time/batch = 0.046
28/5740 (epoch 0), train_loss = 3.133, time/batch = 0.046
29/5740 (epoch 0), train_loss = 3.127, time/batch = 0.046
30/5740 (epoch 0), train_loss = 3.100, time/batch = 0.046
31/5740 (epoch 0), train_loss = 3.134, time/batch = 0.046
32/5740 (epoch 0), train_loss = 3.103, time/batch = 0.046
